ID,City,Latitude,Longitude
1,Abohar,30.14505429972698,74.19565969999998
2,Achalpur,21.254670000408066,77.50864279999999
3,Adilabad,19.675945200356345,78.53398949999999
4,Adoni,15.625331299980976,77.27308939999999
5,Agar,23.71295258890268,76.01837488434977
6,Agartala,23.831237700343255,91.2823821
7,Agra,27.17525540003847,78.00981609999998
8,Ahmadnagar,19.092952000320853,74.7493451
9,Ahmedabad,23.021623800383193,72.57970679999998
10,Aizawl,23.74352360034839,92.7382905
11,Ajmer,26.455912615219773,74.63724623095348
12,Ajmer,26.46910000011549,74.639
13,Akbarpur,26.420068700120694,82.5382541
14,Akola,20.711660400397953,77.002632
15,Aligarh,27.881541199959482,78.0690216
16,Almora,29.601698999776794,79.6632635
17,Alwar,27.562873687662027,76.60697149647514
18,Alwar,27.56460359999499,76.6131841
19,Amaravati,16.509667900082206,80.5184535
20,Ambala,30.384367399706868,76.77042100000001
21,Ambikapur,23.122634300379147,83.1981886
22,Amravati,20.93162190040305,77.7588455
23,Amreli,21.598140700410152,71.21021390000001
24,Amroha,28.90661999984725,78.4707309
25,Anand,22.55849950039819,72.9625629
26,Anantapur,14.67832209986929,77.6065039
27,Anantnag,33.73687729959452,75.14551379999999
28,Ankleshwar,21.632631278251985,72.99173183719373
29,Anur,16.453190000075914,74.2699404
30,Arrah,25.560317000207416,84.6632139
31,Arvi,20.993821992809302,78.23386193368795
32,Asansol,23.682814183081113,86.9648560372981
33,Asansol,23.68712970035159,86.9746587
34,Aurangabad,24.75366960027839,84.3746725
35,Aurangabad,19.87726300036664,75.33902409999999
36,Avadi,13.125475799692598,80.09408999999998
37,Azamgarh,26.06543510015759,83.18443899999998
38,Babra,21.846884843050553,71.30102719662597
39,Bagaha,27.097948300047044,84.0893554
40,Bagalkote,16.185316600045706,75.6967919
41,Bāgeshwar,29.837600999754518,79.771398
42,Bahadurgarh,28.693323899870006,76.9332373
43,Bahraich,27.575199999993803,81.5954
44,Ballari,15.143395199924237,76.9193876
45,Ballia,25.755744600188567,84.15033029999998
46,Balurghat,25.223435200238477,88.7780654
47,Banda,25.473779600215572,80.3312729
48,Bangaon,23.043465500382332,88.8317765
49,Bankura,23.235601000374288,87.0660229
50,Banswara,23.550075000359037,74.44629399999998
51,Barabanki,26.92740970006586,81.19483749999999
52,Baramulla,34.20869029960918,74.34349799999998
53,Baran,25.09819040024953,76.51698759999998
54,Baraut,29.102788599826738,77.2587454
55,Bardhaman,23.24405100037392,87.86894219999999
56,Bareilly,28.352360899907158,79.40965419999999
57,Baripada,21.934900000408938,86.73239999999998
58,Baripada,21.93868768365951,86.73313096838307
59,Barmer,25.745304000189595,71.3998217
60,Barnala,30.376201199707534,75.5435927
61,Barshi,18.23411080025456,75.68751089999999
62,Baruipur,22.365443200402694,88.4325028
63,Basirhat,22.661196200395374,88.8660215
64,Basti,26.789557900080943,82.7231355
65,Batala,31.81930249961588,75.1999941
66,Bathinda,30.20810759972157,74.94853709999998
67,Beawar,26.099213700154145,74.3127044
68,Beed,18.990405900313778,75.7542291
69,Begusarai,25.413861400221155,86.1348858
70,Belagavi,15.857266600008002,74.5069343
71,Bengaluru,12.979119799677022,77.5912997
72,Berhampore,24.104492700326063,88.25106349999999
73,Bettiah,26.80230000007956,84.50739999999999
74,Betul,21.89981920040922,77.89591489999998
75,Bhadrak,21.063328800405447,86.50537309999999
76,Bhadravathi,13.850207499772967,75.7037863
77,Bhagalpur,25.249482900236146,86.98281309999999
78,Bhandara,21.17066980040704,79.65658
79,Bharatpur,27.215444700034,77.49869619999998
80,Bharuch,21.708042700410115,72.9956936
81,Bharuch,21.711363696483236,72.99863977674941
82,Bhavnagar,21.77188360040992,72.1416449
83,Bhilai,21.21206770040757,81.37328489999999
